hour,n_accidents,high_risk_rate,avg_duration_min
0,110152,0.1586,141.1
1,96047,0.1419,131.9
2,92288,0.1581,134.7
3,82657,0.177,149.6
4,158707,0.2146,129.7
5,226967,0.201,144.1
6,404517,0.2013,112.1
7,586064,0.1884,88.8
8,576053,0.19,85.5
9,361787,0.2083,98.6
10,341529,0.2022,101.0
11,353787,0.1964,105.4
12,353419,0.1949,128.6
13,394620,0.1883,136.1
14,447044,0.1821,123.1
15,524000,0.1861,106.5
16,579908,0.1944,98.4
17,573939,0.1999,95.4
18,430459,0.2128,98.1
19,293729,0.2153,99.8
20,223970,0.2155,103.6
21,190085,0.2057,106.3
22,166285,0.2011,110.6
23,125400,0.1547,123.5
