geoid,poly_state,county_name,n_accidents,high_risk_rate,avg_severity
06037,CA,Los Angeles,526313,0.2236,2.229
12086,FL,Miami-Dade,250123,0.0774,2.087
48201,TX,Harris,180905,0.1892,2.194
48113,TX,Dallas,155668,0.2864,2.29
37119,NC,Mecklenburg,145741,0.0607,2.048
12095,FL,Orange,123629,0.072,2.076
37183,NC,Wake,117845,0.0956,2.09
06071,CA,San Bernardino,109475,0.1849,2.191
48453,TX,Travis,108073,0.091,2.087
06059,CA,Orange,107620,0.1683,2.173
04013,AZ,Maricopa,106096,0.1435,2.127
06073,CA,San Diego,104130,0.2087,2.213
06001,CA,Alameda,98602,0.3196,2.312
47037,TN,Davidson,95466,0.1476,2.136
06067,CA,Sacramento,95351,0.0888,2.083
06065,CA,Riverside,88146,0.149,2.153
22033,LA,East Baton Rouge,74682,0.0912,2.078
06085,CA,Santa Clara,70649,0.1384,2.13
42091,PA,Montgomery,68158,0.0645,2.068
17031,IL,Cook,65414,0.5231,2.545
27053,MN,Hennepin,58842,0.2328,2.234
45045,SC,Greenville,56959,0.0962,2.075
53033,WA,King,56708,0.3115,2.328
13121,GA,Fulton,54217,0.4676,2.507
12011,FL,Broward,53725,0.3131,2.335
12057,FL,Hillsborough,52592,0.2071,2.2
06013,CA,Contra Costa,51318,0.1984,2.189
40109,OK,Oklahoma,45866,0.1125,2.103
51059,VA,Fairfax,45141,0.2856,2.304
12031,FL,Duval,41766,0.3841,2.4
36081,NY,Queens,41317,0.2621,2.28
12103,FL,Pinellas,41288,0.0776,2.064
17043,IL,DuPage,40856,0.162,2.15
26049,MI,Genesee,40639,0.1281,2.131
04019,AZ,Pima,40343,0.0388,1.966
26163,MI,Wayne,40160,0.4466,2.468
45083,SC,Spartanburg,39613,0.1368,2.121
45079,SC,Richland,39016,0.1732,2.175
48029,TX,Bexar,38634,0.2471,2.25
49035,UT,Salt Lake,38516,0.187,2.193
36119,NY,Westchester,38166,0.2315,2.243
06029,CA,Kern,37511,0.0339,2.04
12071,FL,Lee,34545,0.0666,2.06
06077,CA,San Joaquin,33963,0.1231,2.119
48439,TX,Tarrant,33935,0.3952,2.409
17097,IL,Lake,33694,0.1974,2.208
41051,OR,Multnomah,32772,0.1583,2.162
18097,IN,Marion,32524,0.2704,2.279
36055,NY,Monroe,32477,0.0938,2.095
06019,CA,Fresno,31513,0.0249,2.018
12099,FL,Palm Beach,30893,0.3138,2.312
06081,CA,San Mateo,30526,0.1208,2.117
51760,VA,Richmond,29896,0.1259,2.094
26081,MI,Kent,27986,0.0898,2.087
42071,PA,Lancaster,27389,0.0466,2.063
24033,MD,Prince George's,27274,0.1848,2.228
36005,NY,Bronx,27136,0.3538,2.371
39113,OH,Montgomery,27062,0.1197,2.109
27123,MN,Ramsey,26731,0.2686,2.271
22071,LA,Orleans,26617,0.1337,2.117
40143,OK,Tulsa,25531,0.0337,2.011
06097,CA,Sonoma,25394,0.0205,2.007
13089,GA,DeKalb,24731,0.5288,2.576
45063,SC,Lexington,24575,0.2102,2.216
39049,OH,Franklin,23672,0.414,2.448
29095,MO,Jackson,23370,0.2923,2.32
36059,NY,Nassau,23312,0.1224,2.139
09110,CT,Capitol,23021,0.3318,2.379
45007,SC,Anderson,22866,0.0737,2.054
45051,SC,Horry,22725,0.015,2.004
12081,FL,Manatee,22611,0.0946,2.099
24031,MD,Montgomery,22523,0.2641,2.315
51087,VA,Henrico,22486,0.122,2.102
24005,MD,Baltimore,22347,0.3353,2.395
06095,CA,Solano,22109,0.3129,2.307
36061,NY,New York,22085,0.1739,2.196
36103,NY,Suffolk,21828,0.1487,2.186
31055,NE,Douglas,21404,0.1724,2.175
06111,CA,Ventura,21264,0.0191,2.022
36047,NY,Kings,21239,0.2902,2.312
47065,TN,Hamilton,21191,0.1236,2.126
08031,CO,Denver,21189,0.4057,2.417
42101,PA,Philadelphia,20284,0.345,2.38
12115,FL,Sarasota,20098,0.0866,2.09
42133,PA,York,20032,0.0994,2.117
12101,FL,Pasco,19956,0.0475,2.035
42003,PA,Allegheny,19767,0.3157,2.379
25017,MA,Middlesex,19589,0.3353,2.32
06053,CA,Monterey,19150,0.0152,2.006
01073,AL,Jefferson,19036,0.3808,2.39
06099,CA,Stanislaus,18764,0.031,2.029
29189,MO,St. Louis,18742,0.582,2.61
34003,NJ,Bergen,18446,0.1999,2.224
11001,DC,District of Columbia,18417,0.1075,2.143
12097,FL,Osceola,18256,0.0723,2.084
47157,TN,Shelby,17923,0.2956,2.291
06061,CA,Placer,17809,0.1394,2.142
06075,CA,San Francisco,17572,0.2668,2.261
06107,CA,Tulare,17284,0.0844,2.157
26125,MI,Oakland,17090,0.4998,2.516
34013,NJ,Essex,16888,0.1653,2.183
51041,VA,Chesterfield,16660,0.0925,2.087
21111,KY,Jefferson,16649,0.5621,2.583
51153,VA,Prince William,16639,0.2163,2.24
48141,TX,El Paso,16463,0.0991,2.047
34023,NJ,Middlesex,15505,0.1912,2.229
42029,PA,Chester,15257,0.0615,2.078
53053,WA,Pierce,15093,0.3441,2.37
12033,FL,Escambia,14793,0.079,2.079
39061,OH,Hamilton,14753,0.386,2.417
39035,OH,Cuyahoga,14614,0.3647,2.357
06087,CA,Santa Cruz,14220,0.0194,2.019
06083,CA,Santa Barbara,14100,0.0171,2.022
55079,WI,Milwaukee,13901,0.3744,2.397
36001,NY,Albany,13858,0.3729,2.396
12083,FL,Marion,13809,0.0889,2.1
06041,CA,Marin,13793,0.0483,2.035
45015,SC,Berkeley,13683,0.1138,2.103
09190,CT,Western Connecticut,13543,0.2546,2.279
27037,MN,Dakota,13450,0.2064,2.208
44007,RI,Providence,13432,0.4772,2.474
22055,LA,Lafayette,13409,0.0389,2.008
13245,GA,Richmond,13407,0.0491,2.02
25025,MA,Suffolk,13214,0.2284,2.209
24021,MD,Frederick,13097,0.2291,2.315
51107,VA,Loudoun,13021,0.0849,2.146
12009,FL,Brevard,12893,0.1574,2.158
36029,NY,Erie,12767,0.3386,2.364
09170,CT,South Central Connecticut,12736,0.2649,2.301
06047,CA,Merced,12716,0.0242,2.02
08001,CO,Adams,12670,0.4346,2.47
53061,WA,Snohomish,12363,0.3678,2.398
13067,GA,Cobb,12361,0.5178,2.556
51710,VA,Norfolk,12335,0.352,2.38
34039,NJ,Union,12143,0.1744,2.203
34007,NJ,Camden,12010,0.2216,2.257
24003,MD,Anne Arundel,11989,0.247,2.325
10003,DE,New Castle,11843,0.1332,2.191
49049,UT,Utah,11680,0.2348,2.242
20091,KS,Johnson,11533,0.2856,2.304
34017,NJ,Hudson,11523,0.1605,2.191
41039,OR,Lane,11487,0.0739,2.104
01125,AL,Tuscaloosa,11416,0.1189,2.127
45091,SC,York,11409,0.1408,2.134
45041,SC,Florence,11359,0.081,2.076
01101,AL,Montgomery,11324,0.1918,2.196
45019,SC,Charleston,11287,0.3817,2.39
06017,CA,El Dorado,11279,0.0152,2.015
32031,NV,Washoe,11111,0.2594,2.273
06079,CA,San Luis Obispo,10933,0.0138,2.014
01089,AL,Madison,10901,0.1346,2.134
22017,LA,Caddo,10860,0.1036,2.103
12117,FL,Seminole,10627,0.2327,2.253
