task,model,metric,value
severity,logreg,accuracy,0.39136
severity,logreg,weighted_f1,0.47451
severity,logreg,weighted_precision,0.77466
severity,logreg,weighted_recall,0.39136
severity,random_forest,accuracy,0.3991
severity,random_forest,weighted_f1,0.47634
severity,random_forest,weighted_precision,0.83483
severity,random_forest,weighted_recall,0.3991
high_risk,logreg,accuracy,0.67765
high_risk,logreg,weighted_f1,0.70761
high_risk,logreg,roc_auc,0.7116
high_risk,logreg,pr_auc,0.3765
high_risk,logreg,high_risk_recall,0.61136
high_risk,random_forest,accuracy,0.70734
high_risk,random_forest,weighted_f1,0.737
high_risk,random_forest,roc_auc,0.80796
high_risk,random_forest,pr_auc,0.47699
high_risk,random_forest,high_risk_recall,0.81828
high_risk,gbt,accuracy,0.72369
high_risk,gbt,weighted_f1,0.7512
high_risk,gbt,roc_auc,0.82989
high_risk,gbt,pr_auc,0.52441
high_risk,gbt,high_risk_recall,0.82221
