task,model,metric,value
severity,logreg,accuracy,0.32645
severity,logreg,weighted_f1,0.41227
severity,logreg,weighted_precision,0.75263
severity,logreg,weighted_recall,0.32645
severity,random_forest,accuracy,0.42121
severity,random_forest,weighted_f1,0.51892
severity,random_forest,weighted_precision,0.77215
severity,random_forest,weighted_recall,0.42121
high_risk,logreg,accuracy,0.6811
high_risk,logreg,weighted_f1,0.7095
high_risk,logreg,roc_auc,0.69404
high_risk,logreg,pr_auc,0.35038
high_risk,logreg,high_risk_recall,0.57709
high_risk,random_forest,accuracy,0.72569
high_risk,random_forest,weighted_f1,0.74486
high_risk,random_forest,roc_auc,0.71754
high_risk,random_forest,pr_auc,0.38316
high_risk,random_forest,high_risk_recall,0.55598
high_risk,gbt,accuracy,0.68987
high_risk,gbt,weighted_f1,0.71876
high_risk,gbt,roc_auc,0.73151
high_risk,gbt,pr_auc,0.3985
high_risk,gbt,high_risk_recall,0.6407
